Date,Returns
2010-01-05,0.002647052166377062
2010-01-06,0.0007044512485383514
2010-01-07,0.00422070047792289
2010-01-08,0.003328024878233471
2010-01-11,0.0013962809616763217
2010-01-12,-0.009326166714210826
2010-01-13,0.008446188996636295
2010-01-14,0.002704745099645356
2010-01-15,-0.011224359809039242
2010-01-19,0.012495750912940418
2010-01-20,-0.01016879464196807
2010-01-21,-0.01922905894597382
2010-01-22,-0.022291200793540966
2010-01-25,0.005127111535611073
2010-01-26,-0.004190514966250225
2010-01-27,0.004757437559965272
2010-01-28,-0.011472774328029955
2010-01-29,-0.010868363379365142
2010-02-01,0.015551005938053253
2010-02-02,0.012102836880421686
2010-02-03,-0.004982109451540873
2010-02-04,-0.030866054651205177
2010-02-05,0.0020665530086325656
2010-02-08,-0.007219207340634859
2010-02-09,0.012560145110431797
2010-02-10,-0.0019583766938988667
2010-02-11,0.010466370580920259
2010-02-12,-0.0008321736817267222
2010-02-16,0.01573447212575574
2010-02-17,0.004738612694888289
2010-02-18,0.005895307193495958
2010-02-19,0.0020737666733217086
2010-02-22,0.00017971637107572214
2010-02-23,-0.012144454689375972
2010-02-24,0.009197695516354187
2010-02-25,-0.0013534117311236882
2010-02-26,0.0006324114582731966
2010-03-01,0.01038465922590226
2010-03-02,0.0027703752796948145
2010-03-03,0.0008912675300838391
2010-03-04,0.003027863986728274
2010-03-05,0.014293504158812365
2010-03-08,0.0001749130182675529
2010-03-09,0.0016625809008690151
2010-03-10,0.004455510313559952
2010-03-11,0.0041752407035746675
2010-03-12,8.659140825284517e-05
2010-03-15,0.00025983954578756574
2010-03-16,0.007966196449120666
2010-03-17,0.00592692747295942
2010-03-18,-0.0005124010491494024
2010-03-19,-0.005061579855000553
2010-03-22,0.005346619997910418
2010-03-23,0.007032801930471955
2010-03-24,-0.004854825654215911
2010-03-25,-0.0016259971493414183
2010-03-26,-0.000599954330413377
2010-03-29,0.006347431470735909
2010-03-30,0.0006820783378804762
2010-03-31,-0.0034074650646243043
2010-04-01,0.00683797225681726
2010-04-05,0.008148929750635192
2010-04-06,0.002358030759488372
2010-04-07,-0.005712410881682617
2010-04-08,0.0034637735288260973
2010-04-09,0.006567481402762976
2010-04-12,0.0015893916678983988
2010-04-13,0.0007515241300635189
2010-04-14,0.011349503011591322
2010-04-15,0.0008249341577397651
2010-04-16,-0.015912326858540826
2010-04-19,0.003770261411728093
2010-04-20,0.00893068213987469
2010-04-21,-0.0018199107778446022
2010-04-22,0.0029835111051936813
2010-04-23,0.006528397088073845
2010-04-26,-0.003776906615418185
2010-04-27,-0.023650415422249882
2010-04-28,0.007596101580888304
2010-04-29,0.01239745230299838
2010-04-30,-0.016961712728373435
2010-05-03,0.012961922970231354
2010-05-04,-0.023515099446429155
2010-05-05,-0.005956161442029928
2010-05-06,-0.03321361504011189
2010-05-07,-0.014875029067633716
2010-05-10,0.04404114371676915
2010-05-11,-0.002841267661217506
2010-05-12,0.013986167607010769
2010-05-13,-0.01243077797075498
2010-05-14,-0.018105223718053787
2010-05-17,0.0005272535189539962
2010-05-18,-0.013602387774873326
2010-05-19,-0.0056941264571295225
2010-05-20,-0.03775959023734621
2010-05-21,0.014599362573622043
2010-05-24,-0.01283142337422738
2010-05-25,0.001021452566296377
2010-05-26,-0.006028717956017893
2010-05-27,0.03349826822602475
2010-05-28,-0.012549749421631784
2010-06-01,-0.016823427682914116
2010-06-02,0.02603927117347582
2010-06-03,0.0034441514906824455
2010-06-04,-0.03513648694596416
2010-06-07,-0.012451429838626016
2010-06-08,0.010712143671160357
2010-06-09,-0.00534632546074687
2010-06-10,0.029231453592873935
2010-06-11,0.004855883652690851
2010-06-14,-0.0015498610602725504
2010-06-15,0.022737413153504527
2010-06-16,-0.0003571033821954117
2010-06-17,0.0016080353064309438
2010-06-18,0.0010839288503987632
2010-06-21,-0.002864111521449164
2010-06-22,-0.016515020173929695
2010-06-23,-0.0031034569099908094
2010-06-24,-0.01657072860972042
2010-06-25,0.004189612253879149
2010-06-28,-0.0031521806876365632
2010-06-29,-0.03087540901853869
2010-06-30,-0.009499753945099498
2010-07-01,-0.004456667271598547
2010-07-02,-0.00544929842519859
2010-07-06,0.006556087771907526
2010-07-07,0.03149544684336769
2010-07-08,0.009895534507934789
2010-07-09,0.007465779927312566
2010-07-12,0.0006480622594027263
2010-07-13,0.015088527117403716
2010-07-14,-9.109275102403558e-05
2010-07-15,0.0002733031490076421
2010-07-16,-0.027534320089448894
2010-07-19,0.005906004983306623
2010-07-20,0.011091672085302928
2010-07-21,-0.012997411467692843
2010-07-22,0.022321644364263538
2010-07-23,0.008678896439449968
2010-07-26,0.01041552133037893
2010-07-27,-8.936119805258436e-05
2010-07-28,-0.006454401040430269
2010-07-29,-0.0048726109249600524
2010-07-30,-0.0001810537418897029
2010-08-02,0.022580587834029275
2010-08-03,-0.004788945587082982
2010-08-04,0.006683448721152008
2010-08-05,-0.0010623305693049367
2010-08-06,-0.004076271352470018
2010-08-09,0.005338796806682922
2010-08-10,-0.005398586697710872
2010-08-11,-0.027407095746388443
2010-08-12,-0.006130212468918206
2010-08-13,-0.00294538329809102
2010-08-16,-0.0004616046528264084
2010-08-17,0.012285096901912596
2010-08-18,0.0018252196311248081
2010-08-19,-0.01739714979359519
2010-08-20,-0.00324429886227362
2010-08-23,-0.003812895770880065
2010-08-24,-0.014843507105501086
2010-08-25,0.0038857303495118956
2010-08-26,-0.006701897875028839
2010-08-27,0.015489430950211824
2010-08-30,-0.014504672665162754
2010-08-31,0.0
2010-09-01,0.029911350202913356
